Date,Time,Temperature,Humidity,Wind Speed,Weather Condition
2024-11-26,02:00:00,8.43,74,4.72,few clouds
2024-11-26,05:00:00,8.09,71,4.04,scattered clouds
2024-11-26,08:00:00,7.8,69,4.01,broken clouds
2024-11-26,11:00:00,7.9,73,3.52,broken clouds
2024-11-26,14:00:00,7.09,78,2.79,clear sky
2024-11-26,17:00:00,9.13,64,3.08,clear sky
2024-11-26,20:00:00,9.21,63,1.93,clear sky
2024-11-26,23:00:00,7.84,73,1.04,scattered clouds
2024-11-27,02:00:00,7.36,74,0.94,overcast clouds
2024-11-27,05:00:00,7.2,77,2.01,light rain
2024-11-27,08:00:00,5.9,86,5.33,moderate rain
2024-11-27,11:00:00,6.27,90,5.25,light rain
2024-11-27,14:00:00,5.82,88,4.98,light rain
2024-11-27,17:00:00,4.6,94,5.04,light rain
2024-11-27,20:00:00,6.17,78,3.6,overcast clouds
2024-11-27,23:00:00,5.12,84,2.95,broken clouds
2024-11-28,02:00:00,4.49,87,1.81,broken clouds
2024-11-28,05:00:00,3.88,89,1.24,scattered clouds
2024-11-28,08:00:00,3.37,89,1.32,clear sky
2024-11-28,11:00:00,2.91,90,0.76,clear sky
2024-11-28,14:00:00,3.34,85,1.2,clear sky
2024-11-28,17:00:00,5.99,67,1.06,clear sky
2024-11-28,20:00:00,5.99,71,1.28,broken clouds
2024-11-28,23:00:00,4.51,81,1.76,broken clouds
2024-11-29,02:00:00,3.86,84,2.1,broken clouds
2024-11-29,05:00:00,4.03,85,2.58,broken clouds
2024-11-29,08:00:00,4.15,82,2.9,overcast clouds
2024-11-29,11:00:00,4.39,80,3.66,overcast clouds
2024-11-29,14:00:00,5.12,78,3.53,broken clouds
2024-11-29,17:00:00,7.8,69,4.23,broken clouds
2024-11-29,20:00:00,7.37,70,4.14,overcast clouds
2024-11-29,23:00:00,6.71,72,3.83,overcast clouds
2024-11-30,02:00:00,7.01,70,3.98,overcast clouds
2024-11-30,05:00:00,6.74,72,3.82,overcast clouds
2024-11-30,08:00:00,6.6,74,3.19,overcast clouds
2024-11-30,11:00:00,6.25,77,2.97,broken clouds
2024-11-30,14:00:00,6.83,72,3.16,broken clouds
2024-11-30,17:00:00,9.16,65,2.92,broken clouds
2024-11-30,20:00:00,9.11,69,2.97,overcast clouds
2024-11-30,23:00:00,7.66,71,2.07,overcast clouds
